"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Teaching software testing methods based on diversity principles","Z. Chen; J. Zhang; B. Luo","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing 210093, China, Software Institute, Nanjing University, Nanjing 210093, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing 210093, China, Software Institute, Nanjing University, Nanjing 210093, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing 210093, China, Software Institute, Nanjing University, Nanjing 210093, China","2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)","16 Jun 2011","2011","","","391","395","Software testing is the primary approach to support software quality assurance. Many novel software testing methods have been proposed to achieve various tasks in recent years. It is a challenge to teach these new testing methods and classical testing methods within limited time. This paper reports our work in progress on the new teaching approach to software testing methods based on diversity principles.","2377-570X","978-1-4577-0348-5","10.1109/CSEET.2011.5876111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876111","","Software testing;Education;Software;Subspace constraints;Industries;Diversity methods","program testing;software quality","software testing method;diversity principle;software quality","","3","","15","","16 Jun 2011","","","IEEE","IEEE Conferences"
"Locating where faults will be [software testing]","T. J. Ostrand; E. J. Weyuker; R. M. Bell","Res., AT&T Labs, Florham Park, NJ, USA; Res., AT&T Labs, Florham Park, NJ, USA; Res., AT&T Labs, Florham Park, NJ, USA","2005 Richard Tapia Celebration of Diversity in Computing Conference","10 Jan 2006","2005","","","48","50","The goal of this research is to allow software developers and testers to become aware of which files in the next release of a large software system are likely to contain the largest numbers of faults or the highest fault densities in the next release, thereby allowing testers to focus their efforts on the most fault-prone files. This is done by developing a negative binomial regression model to help predict characteristics of new releases of a software system, based on information collected about prior releases and the new release under development. The same prediction model was also used to allow a tester to select the files of a new release that collectively contain any desired percentage of the faults. The benefit of being able to make these sorts of predictions accurately should be clear: if we know where to look for bugs, we should be able to target our testing efforts there and, as a result, find problems more quickly and therefore more economically. Two case studies using large industrial software systems are summarized. The first study used seventeen consecutive releases of a large inventory system, representing more than four years of field exposure. The second study used nine releases of a service provisioning system with two years of field experience.","","1-59593-257-7","10.1145/1095242.1095262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1570876","Experimentation;software faults;fault-prone;prediction;regression model;empirical study;software testing","Predictive models;Software testing;Software systems;System testing;Permission;Fault diagnosis;Software engineering;Software debugging;Computer bugs;Economic forecasting","program testing;regression analysis;program debugging","fault awareness;negative binomial regression;software fault;service provisioning system;software testing","","2","","3","","10 Jan 2006","","","IEEE","IEEE Conferences"
"Fundamentals of test case selection: Diversity, diversity, diversity","T. Y. Chen","Centre for Software Analysis and Testing, Swinburne University of Technology, Hawthorn 3122 VIC, Australia","The 2nd International Conference on Software Engineering and Data Mining","9 Aug 2010","2010","","","723","724","Our recent investigations in software testing reveal that diversity constitutes the underlying foundation in many test case selection strategies. This talk attempts to provide an overview of the concept of diversity in test case selection through two families of test case selection strategies, namely, random testing and partition testing. We also present some areas of software testing where the application of data mining techniques shows great potential in identifying key aspects of diversity in various forms.","","978-89-88678-22-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5542825","Adaptive Random Testing;Partition Testing;Proportional Sampling Strategy;Software Testing","Testing;Entropy;Game theory;Counting circuits;Fuzzy sets;Mechatronics;Data analysis;Decision theory;Uncertainty;Fuzzy systems","data mining;program testing","test case selection strategy;software testing;diversity concept;random testing;partition testing;data mining techniques","","","","7","","9 Aug 2010","","","IEEE","IEEE Conferences"
"DDF: Diversity Dragonfly Algorithm for cost-aware test suite minimization approach for software testing","S. R. Sugave; S. H. Patil; B. E. Reddy","MIT College of Engineering, Pune, MH, India; Bharati Vidyapeeth University College of Engineering, Pune, MH, India; JNTUA College of Engineering, Kalikiri, Chittor District, AP, India","2017 International Conference on Intelligent Computing and Control Systems (ICICCS)","11 Jan 2018","2017","","","701","707","The test suite minimization approach is a major research topic that it requires huge attention from the researchers as the traditional methods used for performing the test suite minimization is concentrated on the cost of regression testing but the requirements were not satisfied. To solve the problem of satisfying requirements, researchers proposed greedy algorithms, optimization algorithms, and so on. In this paper, a novel optimization algorithm is proposed termed as the Diversity Dragonfly Algorithm (DDF) algorithm that concentrates on the cost and quality of the test suite. The diversification included in the standard Dragonfly algorithm forms the DDF that uses three bitwise operators for diversification. The DDF algorithm determines the best suite based on the hunting mechanism of the dragonfly using a minimum objective function such that the selected test suite satisfies all the requirements. The experiment is carried out using five subject programs and the performance analysis of the proposed DDF is carried out and compared with the existing methods. It is found that the reduction capability of the DDF is better than existing methods and the cost of the proposed DDF is low ensuring a quality test suite reduction.","","978-1-5386-2745-7","10.1109/ICCONS.2017.8250554","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250554","Test suite reduction;DDF optimization algorithm;cost constraint;Software testing;Diversity function","Software;Minimization;Optimization;Software algorithms;Software testing;Linear programming","greedy algorithms;optimisation;program testing;regression analysis","cost-aware test suite minimization approach;software testing;regression testing;greedy algorithms;optimization algorithms;Diversity Dragonfly Algorithm algorithm;diversification;standard Dragonfly algorithm;DDF algorithm;quality test suite reduction;minimum objective function","","7","","15","","11 Jan 2018","","","IEEE","IEEE Conferences"
"Using mutation testing to measure behavioural test diversity","F. G. d. O. Neto; F. Dobslaw; R. Feldt","Chalmers and the University of Gothenburg,Dept. of Computer Science and Engineering,Gothenburg,Sweden; Chalmers and the University of Gothenburg,Dept. of Computer Science and Engineering,Gothenburg,Sweden; Chalmers and the University of Gothenburg,Dept. of Computer Science and Engineering,Gothenburg,Sweden","2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","4 Aug 2020","2020","","","254","263","Diversity has been proposed as a key criterion to improve testing effectiveness and efficiency. It can be used to optimise large test repositories but also to visualise test maintenance issues and raise practitioners' awareness about waste in test artefacts and processes. Even though these diversitybased testing techniques aim to exercise diverse behavior in the system under test (SUT), the diversity has mainly been measured on and between artefacts (e.g., inputs, outputs or test scripts). Here, we introduce a family of measures to capture behavioural diversity (b-div) of test cases by comparing their executions and failure outcomes. Using failure information to capture the SUT behaviour has been shown to improve effectiveness of history-based test prioritisation approaches. However, historybased techniques require reliable test execution logs which are often not available or can be difficult to obtain due to flaky tests, scarcity of test executions, etc. To be generally applicable we instead propose to use mutation testing to measure behavioral diversity by running the set of test cases on various mutated versions of the SUT. Concretely, we propose two specific b-div measures (based on accuracy and Matthew's correlation coefficient, respectively) and compare them with artefact-based diversity (a-div) for prioritising the test suites of 6 different open-source projects. Our results show that our b-div measures outperform a-div and random selection in all of the studied projects. The improvement is substantial with an average increase in average percentage of faults detected (APFD) of between 19% to 31% depending on the size of the subset of prioritised tests.","","978-1-7281-1075-2","10.1109/ICSTW50294.2020.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155915","diversity-based testing;test prioritisation;test selection;empirical study","Testing;Fault detection;Reliability;Optimization;Atmospheric measurements;Particle measurements;Diversity reception","fault diagnosis;program testing","reliable test execution logs;flaky tests;test executions;mutation testing;b-div measures;artefact-based diversity;test suites;prioritised tests;behavioural test diversity;testing effectiveness;test repositories;diversity-based testing techniques;open-source projects;random selection;history-based test;SUT behaviour;failure outcomes;test scripts;diverse behavior;test artefacts;test maintenance issues","","","","31","","4 Aug 2020","","","IEEE","IEEE Conferences"
"Visualizing Test Diversity to Support Test Optimisation","F. G. De Oliveira Neto; R. Feldt; L. Erlenhov; J. B. D. S. Nunes","Dept. of Comput. Sci. & Eng., Univ. of Gothenburg, Gothenburg, Sweden; Dept. of Comput. Sci. & Eng., Univ. of Gothenburg, Gothenburg, Sweden; Dept. of Comput. Sci. & Eng., Univ. of Gothenburg, Gothenburg, Sweden; Dept. of Comput. Syst., Fed. Univ. of Campina Grande, Campina Grande, Brazil","2018 25th Asia-Pacific Software Engineering Conference (APSEC)","23 May 2019","2018","","","149","158","Diversity has been used as an effective criteria to optimise test suites for cost-effective testing. Particularly, diversity-based (alternatively referred to as similarity-based) techniques have the benefit of being generic and applicable across different Systems Under Test (SUT), and have been used to automatically select or prioritise large sets of test cases. However, there is a challenge in how to present diversity information to developers and testers since results are typically many-dimensional. Furthermore, the generality of diversity-based approaches makes it harder to choose when and where to apply them. In this paper we address these challenges by investigating: i) what are the trade-offs in using different sources of diversity (e.g., diversity of test requirements or test scripts) to optimise large test suites, and ii) how visualisation of test diversity data can assist testers for test optimisation and improvement. We perform a case study on three industrial projects and present quantitative results on the fault detection capabilities and redundancy levels of different sets of test cases. Our key result is that test similarity maps, based on pair-wise diversity calculations, helped industrial practitioners identify issues with their test repositories and decide on actions to improve. We conclude that the visualisation of diversity information can assist testers in their maintenance and optimisation activities.","2640-0715","978-1-7281-1970-0","10.1109/APSEC.2018.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719537","Software Testing;Diversity;Search based Software Testing;Empirical Study","Optimization;Testing;Indexes;Data visualization;Fault detection;Maintenance engineering;Subspace constraints","data visualisation;fault diagnosis;program testing","test optimisation;test suites;cost-effective testing;test cases;diversity information;diversity-based approaches;test requirements;test scripts;test diversity data;test similarity maps;pair-wise diversity calculations;test repositories;maintenance;optimisation activities","","4","","25","","23 May 2019","","","IEEE","IEEE Conferences"
"An experimental framework for the evaluation of cooperative diversity","G. J. Bradford; J. N. Laneman","Department of Electrical Engineering, University of Notre Dame, Indiana 46556, USA; Department of Electrical Engineering, University of Notre Dame, Indiana 46556, USA","2009 43rd Annual Conference on Information Sciences and Systems","2 Jun 2009","2009","","","641","645","Cooperative diversity is the result of relaying among nodes to achieve space diversity in multipath environments that offer limited time and frequency diversity. Although there is now substantial literature covering specification and analysis of cooperative communication strategies based upon models of wireless environments, there is much less work addressing experiments with real-world radio hardware and propagation channels. This work describes the construction of a three node, experimental testbed based upon a network of software-defined radios for development and verification of cooperative protocols. Several decode-and-forward relay protocols have been implemented and evaluated in terms of their diversity gains as measured from experimental curves of bit-error rate versus average signal-to-noise ratio. In contrast to the few other implementation efforts reported, the experimental setup maintains the relative node geometry while moving the network to induce fading, and the experimental results exhibit diversity benefits.","","978-1-4244-2733-8","10.1109/CISS.2009.5054797","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5054797","","Relays;Protocols;Frequency diversity;Hardware;Software testing;Decoding;Diversity methods;Gain measurement;Bit error rate;Signal to noise ratio","channel coding;decoding;diversity reception;fading channels;multipath channels;protocols;radiowave propagation;software radio","cooperative diversity;experimental evaluation framework;multipath environment;wireless environment;radio hardware;propagation channel;software-defined radio;decode-and-forward relay protocol;fading channel","","27","","17","","2 Jun 2009","","","IEEE","IEEE Conferences"
"Test Set Diameter: Quantifying the Diversity of Sets of Test Cases","R. Feldt; S. Poulding; D. Clark; S. Yoo","Software Eng. Res. Lab., Blekinge Inst. of Technol., Karlskrona, Sweden; Software Eng. Res. Lab., Blekinge Inst. of Technol., Karlskrona, Sweden; Dept. of Comput. Sci., Univ. Coll. London, London, UK; Sch. of Comput., KAIST, Daejeon, South Korea","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)","21 Jul 2016","2016","","","223","233","A common and natural intuition among software testers is that test cases need to differ if a software system is to be tested properly and its quality ensured. Consequently, much research has gone into formulating distance measures for how test cases, their inputs and/or their outputs differ. However, common to these proposals is that they are data type specific and/or calculate the diversity only between pairs of test inputs, traces or outputs. We propose a new metric to measure the diversity of sets of tests: the test set diameter (TSDm). It extends our earlier, pairwise test diversity metrics based on recent advances in information theory regarding the calculation of the normalized compression distance (NCD) for multisets. A key advantage is that TSDm is a universal measure of diversity and so can be applied to any test set regardless of data type of the test inputs (and, moreover, to other test-related data such as execution traces). But this universality comes at the cost of greater computational effort compared to competing approaches. Our experiments on four different systems show that the test set diameter can help select test sets with higher structural and fault coverage than random selection even when only applied to test inputs. This can enable early test design and selection, prior to even having a software system to test, and complement other types of test automation and analysis. We argue that this quantification of test set diversity creates a number of opportunities to better understand software quality and provides practical ways to increase it.","","978-1-5090-1827-7","10.1109/ICST.2016.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515474","Software testing;Information theory;Test selection;Empirical study","Measurement;Complexity theory;Software testing;Electronic mail;Software systems","program testing;software fault tolerance;software metrics;software quality","software quality;test set diversity;fault coverage;NCD;normalized compression distance;pairwise test diversity metrics;TSDm;software system;software testers;test cases;test set diameter","","41","","41","","21 Jul 2016","","","IEEE","IEEE Conferences"
"Using Exploration Focused Techniques to Augment Search-Based Software Testing: An Experimental Evaluation","B. Marculescu; R. Feldt; R. Torkar","Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden; Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden; Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)","21 Jul 2016","2016","","","69","79","Search-based software testing (SBST) often uses objective-based approaches to solve testing problems. There are, however, situations where the validity and completeness of objectives cannot be ascertained, or where there is insufficient information to define objectives at all. Incomplete or incorrect objectives may steer the search away from interesting behavior of the software under test (SUT) and from potentially useful test cases. This papers investigates the degree to which exploration-based algorithms can be used to complement an objective-based tool we have previously developed and evaluated in industry. In particular, we would like to assess how exploration-based algorithms perform in situations where little information on the behavior space is available a priori. We have conducted an experiment comparing the performance of an exploration-based algorithm with an objective-based one on a problem with a high-dimensional behavior space. In addition, we evaluate to what extent that performance degrades in situations where computational resources are limited. Our experiment shows that exploration-based algorithms are useful in covering a larger area of the behavior space and result in a more diverse solution population. Typically, of the candidate solutions that exploration-based algorithms propose, more than 80% were not covered by their objective-based counterpart. This increased diversity is present in the resulting population even when computational resources are limited. We conclude that exploration-focused algorithms are a useful means of investigating high-dimensional spaces, even in situations where limited information and limited resources are available.","","978-1-5090-1827-7","10.1109/ICST.2016.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515460","search-based software testing;objective-based algorithms;exploration-focused;controlled experiment","Conferences;Software testing","program testing","search-based software testing;SBST;objective-based approaches;software under test;SUT;exploration-based algorithms;high-dimensional behavior space","","5","","17","","21 Jul 2016","","","IEEE","IEEE Conferences"
"Searching for Cognitively Diverse Tests: Towards Universal Test Diversity Metrics","R. Feldt; R. Torkar; T. Gorschek; W. Afzal","Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby","2008 IEEE International Conference on Software Testing Verification and Validation Workshop","16 Jul 2008","2008","","","178","186","Search-based software testing (SBST) has shown a potential to decrease cost and increase quality of testing- related software development activities. Research in SBST has so far mainly focused on the search for isolated tests that are optimal according to a fitness function that guides the search. In this paper we make the case for fitness functions that measure test fitness in relation to existing or previously found tests; a test is good if it is diverse from other tests. We present a model for test variability and propose the use of a theoretically optimal diversity metric at variation points in the model. We then describe how to apply a practically useful approximation to the theoretically optimal metric. The metric is simple and powerful and can be adapted to a multitude of different test diversity measurement scenarios. We present initial results from an experiment to compare how similar to human subjects, the metric can cluster a set of test cases. To carry out the experiment we have extended an existing framework for test automation in an object-oriented, dynamic programming language.","","978-0-7695-3388-9","10.1109/ICSTW.2008.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4567005","","Software testing;System testing;Humans;Object oriented modeling;Automatic testing;Software measurement;Software engineering;Isolation technology;Costs;Programming","object-oriented programming;program testing;software metrics","universal test diversity metrics;search-based software testing;software development;optimal diversity metric;dynamic programming language;object-oriented programming","","32","","22","","16 Jul 2008","","","IEEE","IEEE Conferences"
