Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A novel privacy-preserving technique using steganography and L-diversity for multi-relational educational dataset","International Journal of Information Technology","","15","6","10.1007/s41870-023-01305-8","Sunil Kumar MuttooNishaArchana Singhal","2023","http://link.springer.com/article/10.1007/s41870-023-01305-8","Article"
"Improving repair of semantic ATL errors using a social diversity metric","Software and Systems Modeling","","","","10.1007/s10270-024-01170-4","Zahra VaraminyBahnemiryJessie GalassoBentley OakesHouari Sahraoui","2024","http://link.springer.com/article/10.1007/s10270-024-01170-4","Article"
"IMDCS:influence maximization with type-diversity by leveraging community structure","Computing","","105","6","10.1007/s00607-022-01134-w","Xiaojie WangWushour SlamuAbudureheman KadeerSixiu WangXiaojing Hou","2023","http://link.springer.com/article/10.1007/s00607-022-01134-w","Article"
"Multi-factor ranking method for trading-off accuracy, diversity, novelty, and coverage of recommender systems","International Journal of Information Technology","","15","3","10.1007/s41870-023-01158-1","Bushra AlhijawiSalam FraihatArafat Awajan","2023","http://link.springer.com/article/10.1007/s41870-023-01158-1","Article"
"Edge-assisted federated learning for anomaly detection in diverse IoT network","International Journal of Information Technology","","","","10.1007/s41870-024-01728-x","Priya SharmaSanjay Kumar SharmaDiksha Dani","2024","http://link.springer.com/article/10.1007/s41870-024-01728-x","Article"
"Spectral efficiency of selection combiner under Nakagami-m fading channels","International Journal of Information Technology","","15","2","10.1007/s41870-022-00980-3","Abhishek SemwalRinkyMohammad Irfanul Hasan","2023","http://link.springer.com/article/10.1007/s41870-022-00980-3","Article"
"An improved indicator-based two-archive algorithm for many-objective optimization problems","Computing","","106","5","10.1007/s00607-024-01272-3","Weida SongShanxin ZhangWenlong GeWei Wang","2024","http://link.springer.com/article/10.1007/s00607-024-01272-3","Article"
"On the relationship between similar requirements and similar software","Requirements Engineering","","28","1","10.1007/s00766-021-00370-4","Muhammad AbbasAlessio FerrariAnas ShatnawiEduard EnoiuMehrdad SaadatmandDaniel Sundmark","2023","http://link.springer.com/article/10.1007/s00766-021-00370-4","Article"
"Elements for Automatic Identification of Fallacies in Mexican Election Campaign Political Speeches","Programming and Computer Software","","49","8","10.1134/S0361768823080170","Kenia Nieto-BenitezNoe Alejandro Castro-SanchezHector Jimenez SalazarGemma Bel-EnguixDante Mújica VargasJuan Gabriel González SernaNimrod González Franco","2023","http://link.springer.com/article/10.1134/S0361768823080170","Article"
"Predictive modeling of gaze patterns in drivers: a machine learning approach with tobii glass 2","International Journal of Information Technology","","","","10.1007/s41870-024-01814-0","Daniela Daniel NdunguruLiu ZhanwenChrispus Zacharia OroniSeth Mabyo kabambaArsenyan AniMoussa SaliGadi Gilleard LyatuuAletas Athanas Haule","2024","http://link.springer.com/article/10.1007/s41870-024-01814-0","Article"
