"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Similarity measurement between images","Chaur-Chin Chen; Hsueh-Ting Chu","Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan",29th Annual International Computer Software and Applications Conference (COMPSAC'05),"26 Sep 2005","2005","2","","41","42 Vol. 1","Experimental results of applying two similarity measurements, Euclidean distance and chord distance, to test a set of six Brodatz's textures are reported. Experiments show that in addition to feature extraction, a similarity measurement between images should be simultaneously considered. We also review some other similarity measurements.","0730-3157","0-7695-2413-3","10.1109/COMPSAC.2005.140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508081","","Image databases;Spatial databases;Euclidean distance;Shape measurement;Feature extraction;Multimedia databases;Information retrieval;Pattern recognition;Distance measurement;Computer science","","17","","5","IEEE","26 Sep 2005","","","IEEE","IEEE Conferences"
"Using Dynamic Time Warping Method for the Similarity Measurement of Fluorescent Lamp Arc","Y. -J. Liu; Y. -H. Cheng","Department of Electrical Engineering, National Chung Cheng University, Chiayi, Taiwan; Department of Electrical Engineering, National Chung Cheng University, Chiayi, Taiwan","2021 IEEE/ACIS 22nd International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","11 Feb 2022","2021","","","162","166","Daily used fluorescent lamp or lighting tube is mainly consisted of optical element and power electronic component. The usage of them result in the various distortions on residential electricity supply and impact to power quality due to the nonlinear characteristic from arc phenomenon. In order to seek effectiveness ways for power quality improvement and to prevent any abnormal event on electricity supply, detection work on electric arc becomes important. For the electric arc detection, previous recognition on different arc properties or different forming sources can help to achieve this work. This paper thus propose an idea by using similarity measurement to find the relevance between produced arc signal and the source of arc. Dynamic Time Warping method is proposed in this paper to implement similarity measurement and six kinds of commercial fluorescent lamps from the market are selected for tests. Experimental results indicate that the proposed method can classify the arc signal into different lamp categories accurately.","2693-8421","978-1-6654-0403-7","10.1109/SNPD51163.2021.9704925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9704925","fluorescent lamp;power quality;nonlinear characteristic;electric arc;dynamic time warping","Numerical analysis;Power quality;Optical distortion;Arc discharges;Fluorescence;Time measurement;Power electronics","","","","10","IEEE","11 Feb 2022","","","IEEE","IEEE Conferences"
"A pictorial database management system wuich uses histogram classification as a similarity measure","M. Ward; Y. T. Chien","University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA","COMPSAC 79. Proceedings. Computer Software and The IEEE Computer Society's Third International Applications Conference, 1979.","10 Dec 2002","1979","","","153","156","A system has been developed at the University of Connecticut Image Processing Lab for the manage ment of pictorial databases. The technique is geared toward minimizing manual intervention in entering and accessing picture files and, by assign ing a loose ordering to the files, permits fast searching and clustering. The two major concepts involved are the classification of grey level histo grams to be used as the similarity measure for the ordering and a pyramid structure to obtain several levels of image classification in a hierarchical manner. The method has been tested with several sets of picture files and compared as far as ease and speed of operation against one of the more common methods currently in use with extremely favorable results.","","","10.1109/CMPSAC.1979.762483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762483","","Database systems;Histograms;Frequency;Image processing;Image databases;Image segmentation;Computer vision;Image storage;Computed tomography;Image classification","","","","3","IEEE","10 Dec 2002","","","IEEE","IEEE Conferences"
"Epileptic Seizure Detection in EEG Signals Using Discriminative Stein Kernel-Based Sparse Representation","C. Lei; S. Zheng; X. Zhang; D. Wang; H. Wu; H. Peng; B. Hu","Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China; Gansu Provincial Key Laboratory of Wearable Computing, School of Information Science and Engineering, Lanzhou University, Lanzhou, China",IEEE Transactions on Instrumentation and Measurement,"1 Mar 2022","2022","71","","1","15","The automatic seizure detection in electroencephalogram (EEG) signals is crucial for the monitoring, diagnosis, and treatment of epilepsy. In this study, an intelligent detection framework with the discriminative Stein kernel-based sparse representation (DSK-SR) is constructed to distinguish epileptic EEG signals. Specifically, in the scheme of DSK-SR, EEG samples are presented by symmetric positive definite (SPD) matrices in the form of covariance descriptors (CovDs). Taking into account the non-Euclidean geometry of the Riemannian manifold of SPD matrices, the traditional SR in Euclidean space cannot be applied in its original form on the manifold. To this end, the DSK defined on the manifold can permit us to embed the manifold into a high-dimensional reproducing kernel Hilbert space (RKHS) to perform SR. Then, test samples are sparsely coded over the training sets, and the classification decision is performed by assessing which class generates the minimal reconstructed residuals. Eventually, competitive experimental results on three widely recognized EEG datasets against the state-of-the-art methods demonstrate the efficacy of the proposed DSK-SR in identifying epileptic EEG signals, indicating its powerful application potential in the automatic seizure detection.","1557-9662","","10.1109/TIM.2021.3137159","National Key Research and Development Program of China(grant numbers:2019YFA0706200); National Natural Science Foundation of China(grant numbers:61632014,61627808,61210010); National Basic Research Program of China (973 Program)(grant numbers:2014CB744600); Program of Beijing Municipal Science & Technology Commission(grant numbers:Z171100000117005); Fundamental Research Funds for the Central Universities(grant numbers:lzujbky-2020-kb25); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9656882","Discriminative Stein kernel (DSK);electroencephalogram (EEG);seizure detection;sparse representation (SR);symmetric positive definite (SPD) matrix","Electroencephalography;Task analysis;Kernel;Eigenvalues and eigenfunctions;Sparse matrices;Manifolds;Covariance matrices","","8","","66","IEEE","21 Dec 2021","","","IEEE","IEEE Journals"
"An algorithmic approach for creating diverse stochastic feeder datasets for power systems co-simulations","R. Kadavil; T. M. Hansen; S. Suryanarayanan","ECE Dept., Colorado State University, Fort Collins, CO, USA; EECS Department, South Dakota State University, Brookings, SD, USA; ECE Dept., Colorado State University, Fort Collins, CO, USA",2016 IEEE Power and Energy Society General Meeting (PESGM),"14 Nov 2016","2016","","","1","5","Performing co-simulation studies on transmission and distribution systems software environments requires linking the transmission system elements in the former with highly detailed distribution network models and probabilistic load models in the latter. This paper presents a two-step algorithm for: (i) creating a scalable distribution system in a bottom-up approach to match the connected load at the transmission system bus; and (ii) populating the distribution system with active power loads possessing time varying load profiles. We demonstrate an application of the algorithm by creating a detailed distribution topology populated with residential loads expanded from a selected transmission node in a standard test system. All codes are written using the Python coding environment.","1944-9933","978-1-5090-4168-8","10.1109/PESGM.2016.7741708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7741708","distribution;GridLAB-D;load modeling;network model;random walk;simulation test bed;statistical distribution;stochastic process","Load modeling;Topology;Network topology;Stochastic processes;Smart grids;Low voltage;Mathematical model","","5","","11","IEEE","14 Nov 2016","","","IEEE","IEEE Conferences"
"Identifying Ambiguous Similarity Conditions via Semantic Matching","H. -J. Ye; Y. Shi; D. -C. Zhan","State Key Laboratory for Novel Software Technology, Nanjing University; State Key Laboratory for Novel Software Technology, Nanjing University; State Key Laboratory for Novel Software Technology, Nanjing University",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","16589","16598","Rich semantics inside an image result in its ambiguous relationship with others, i.e., two images could be similar in one condition but dissimilar in another. Given triplets like “aircraft” is similar to “bird” than “train”, Weakly Supervised Conditional Similarity Learning (WS-CSL) learns multiple embeddings to match semantic conditions without explicit condition labels such as “can fly”. However, similarity relationships in a triplet are uncertain except providing a condition. For example, the previous comparison becomes invalid once the conditional label changes to “is vehicle”. To this end, we introduce a novel evaluation criterion by predicting the comparison's correctness after assigning the learned embeddings to their optimal conditions, which measures how much WS-CSL could cover latent semantics as the supervised model. Furthermore, we propose the Distance Induced Semantic COndition VER-ification Network (DiscoverNet), which characterizes the instance-instance and triplets-condition relations in a “decompose-and-fuse” manner. To make the learned embeddings cover all semantics, Discovernet utilizes a set module or an additional regularizer over the correspondence between a triplet and a condition. DiscoverNet achieves state-of-the-art performance on benchmarks like UT-Zappos-50k and Celeb-A w.r.t. different criteria.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.01611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878949","Representation learning; Self-& semi-& meta- & unsupervised learning","Computer vision;Semantics;Benchmark testing;Predictive models;Birds;Pattern recognition;Aircraft","","3","","49","IEEE","27 Sep 2022","","","IEEE","IEEE Conferences"
"Recognition of abnormal vibrational responses of signposts using the Two-dimensional Geometric Distance and Wilcoxon test","M. Jinnai; Y. Akashi; S. Nakaya; F. Ren; M. Fukumi","Kagawa National College, Takamatsu, Kagawa, Japan; Nexco Engineering Limited, Takamatsu, Kagawa, Japan; Nexco Engineering Limited, Takamatsu, Kagawa, Japan; University of Tokushima, Tokushima, Japan; University of Tokushima, Tokushima, Japan",Proceedings of the 6th International Conference on Natural Language Processing and Knowledge Engineering(NLPKE-2010),"30 Sep 2010","2010","","","1","8","In expressway companies, workers have been impacting signposts using wooden hammers and estimating the degree of the corrosion by listening to the sound. In order to automate this, we have been developing software that recognizes an abnormal impact vibrational response due to corrosion. This software extracts sonograms from impact vibrational waves using the LPC spectrum analysis, and matches images of the sonogram between a standard and an input impact vibrations using the Two-dimensional Geometric Distance. Then, the software distinguishes the abnormality of the input impact vibration using Wilcoxon rank-sum test. We have measured the impact vibrations of five normal signposts and five abnormal signposts, and carried out the automatic recognition experiments. As a result, the software has recognized correctly in all cases. We have verified the effectiveness of the proposed method.","","978-1-4244-6899-7","10.1109/NLPKE.2010.5587837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587837","Similarity measures;distance functions;pattern matching","Equations;Noise","","1","","16","IEEE","30 Sep 2010","","","IEEE","IEEE Conferences"
"The Effect of the Similarity Between the Two Names of Twitter Users on the Credibility of Their Publications","R. Mouty; A. Gazdar","Department of Software Engineering, Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Software Engineering, Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","2019 Joint 8th International Conference on Informatics, Electronics & Vision (ICIEV) and 2019 3rd International Conference on Imaging, Vision & Pattern Recognition (icIVPR)","7 Oct 2019","2019","","","196","201","Social media networks have become one of the most important sources for information and news sharing. As a result of the ease of publication and the lack of censorship of the published content, they have become a source of spreading rumors and deceptive information. Twitter, as a social media site, has its importance in influencing the world public opinion in general and the Arab street in particular. Many studies have been conducted to examine the credibility of the publication through social networking sites, especially through Twitter in different languages, but the research in Arabic is few and needs further development. In this research, we focus on discovering the credibility of Twitter publishing in Arabic by integrating the Social Media Mining techniques with the Natural Language Processing (NLP). We have extracted the common 40 user and content features for training and testing the most used four classifiers in field of credibility detection. In order to enhance the accuracy of the detection process, we developed a new algorithm to discover the relationship (similarity) between the two names of Twitter user (username and display name). Using the random forest classifier, we outperform the baseline works in terms of accuracy.","","978-1-7281-0788-2","10.1109/ICIEV.2019.8858561","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858561","Credibility Detection;Truth Detection;Rumors Detection;Fake News;Arabic Tweets;Social Media;Twitter;Names Similarity","Feature extraction;Twitter;Real-time systems;Reliability;Natural language processing;Labeling","","9","","27","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Detection of Alzheimer's Disease Using Graph-Regularized Convolutional Neural Network Based on Structural Similarity Learning of Brain Magnetic Resonance Images","K. Yang; E. A. Mohammed; B. H. Far","Dept of Mechanical Engineering, Lakehead University, Thunder Bay, Canada; Dept of Electrical and Software Engineering, University of Calgary, Calgary, Canada; Dept of Electrical and Software Engineering, University of Calgary, Calgary, Canada",2021 IEEE 22nd International Conference on Information Reuse and Integration for Data Science (IRI),"17 Nov 2021","2021","","","326","333","Objective: This paper presents an Alzheimer's disease (AD) detection method based on learning structural similarity between Magnetic Resonance Images (MRIs) and representing the similarity as a graph. Methods: We construct the similarity graph using embedded features of the input image (i.e., Non-Demented (ND), Very Mild Demented (VMD), Mild Demented (MD), and Moderated Demented (MDTD)). We experiment and compare different dimension-reduction and clustering algorithms to construct the best similarity graph to capture the similarity between the same class images using the cosine distance as a similarity measure. We utilize the similarity graph to present (sample) the training data to a convolutional neural network (CNN). We use the similarity graph as a regularizer in the loss function of a CNN model to minimize the distance between the input images and their k-nearest neighbours in the similarity graph while minimizing the categorical cross-entropy loss between the training image predictions and the actual image class labels. Results: We conduct a baseline experiment with a standard, none-tuned VGG-19 CNN model with different settings and compare the results to identify the best settings to classify (ND vs VMD vs MD vs MDTD). Conclusion: Our method achieves an adequate performance on the testing dataset (accuracy = 0.71, area under receiver operating characteristics curve = 0.86, F1 measure = 0.71). Significance: The classification results show that utilizing a structural similarity graph with none tuned standard CNN model can achieve adequate prediction accuracy and motivate fine-tuning several pre-trained models for better classification performance.","","978-1-6654-3875-9","10.1109/IRI51335.2021.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599144","Alzheimer's Disease;Convolutional Neural Network;Graph-Regularization;Magnetic Resonance Images;Learning Structural Similarity","Training;Magnetic resonance;Training data;Predictive models;Brain modeling;Convolutional neural networks;Alzheimer's disease","","3","","28","IEEE","17 Nov 2021","","","IEEE","IEEE Conferences"
"Label Propagation Algorithm Joint Multilayer Neighborhood Overlap and Historic Label Similarity for Community Detection","S. Zhang; S. Yu; X. E; R. Huo; Z. Sui","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; School of Software and Microelectronics, Peking University Faculty of Information Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; School of Software and Microelectronics, Peking University Faculty of Information Technology, Beijing, China",IEEE Systems Journal,"13 Jun 2022","2022","16","2","2626","2634","Community detection is an extremely important technology for today's rapidly evolving data mining and exploratory analysis. Many community detection algorithms have been proposed and applied. Among them, the label propagation algorithm (LPA) is widely used due to its closeness to linear time complexity and its simple characteristics. However, the results of detecting the community were found to be random when using LPA. Based on previous improvements to the LPA, this article proposes a new LPA (NOHLPA) that joins multilayer neighborhood overlap and historical label similarity. The NOHLPA considers both the node update order and label selection rules. We cited the label entropy as the basis for node update order and defined multilayer neighborhood overlap and historical label similarity for calculating node preferences to devise more appropriate label selection rules. We test the NOHLPA on five real datasets and compare NOHLPA with different combinations of algorithms. The experimental results show that the NOHLPA effectively improves the accuracy of community partitioning while ensuring stability.","1937-9234","","10.1109/JSYST.2021.3113826","National Key Research and Development Program of China(grant numbers:2018YFB1800501); 2020 Industrial Internet Innovation and Development Project: Network Identifier Construction Project; Industrial Internet Identification Resources Search System Project(grant numbers:TC200A017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582769","Community detection;historical label similarity;label propagation;multilayer neighborhood overlap","Entropy;Nonhomogeneous media;Internet;Time complexity;Social networking (online);Heuristic algorithms;Detection algorithms","","2","","28","IEEE","20 Oct 2021","","","IEEE","IEEE Journals"
