"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Test-Based Clone Detection: an Initial Try on Semantically Equivalent Methods","G. Li; H. Liu; Y. Jiang; J. Jin","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",IEEE Access,"23 Dec 2018","2018","6","","77643","77655","Most code clone detection approaches identify clones via static source code analysis. Such approaches are effective and efficient in detecting lexically similar clones. However, they are less effective in detecting semantic clones that are similar in functionality but different in implementation. As an initial try to detect semantic clones, in this paper, we propose a test-based approach to detecting methods that are semantically equivalent to API methods. For a given method m, we generate its test cases automatically and search for semantically equivalent API methods by running the generated test cases. If two methods generate the same output on each of the test cases, they are taken as semantically equivalent methods. One of the weakness of test-based clone detection is that it is often time consuming. To reduce the time complexity, we take the following measures. First, we focus on methods instead of arbitrary fragments. Second, for a given method, we only compare it against such API methods whose signatures are highly similar to that of the given method. We evaluate the proposed approach on 10 well-known applications. Evaluation results suggest that it is efficient and accurate, and its precision is up to 98%.","2169-3536","","10.1109/ACCESS.2018.2883699","National Natural Science Foundation of China(grant numbers:61690205,61472034,61772071); National Key Research and Development Program of China(grant numbers:2016YFB1000801); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8550632","Clone detection;semantic equivalence;test-driven;lexical similarity","Cloning;Semantics;Java;Time complexity;Open source software;Time measurement;Syntactics","","6","","84","OAPA","28 Nov 2018","","","IEEE","IEEE Journals"
"Looking for Lacunae in Bitcoin Core's Fuzzing Efforts","A. Groce; K. Jain; R. van Tonder; G. T. Kalburgi; C. L. Goues","Northern Arizona University, United States; Carnegie Mellon University, United States; Sourcegraph, Inc., United States; Northern Arizona University, United States; Carnegie Mellon University, United States",2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),"17 Jun 2022","2022","","","185","186","Bitcoin is one of the most prominent distributed software systems in the world. This paper describes an effort to investigate and enhance the effectiveness of the Bitcoin Core fuzzing effort. The effort initially began as a query about how to escape saturation in the fuzzing effort, but developed into a more general exploration. This paper summarizes the outcomes of a two-week focused effort. While the effort found no smoking guns indicating major test/fuzz weaknesses, it produced a large number of additional fuzz corpus entries, increased the set of fuzzers used for Bitcoin Core, and ran mutation analysis of Bitcoin Core fuzz targets, with a comparison to Bitcoin functional tests and other cryptocurrencies’ tests. Our conclusion is that for high quality fuzzing efforts, improvements to the oracle may be the best way to get more out of fuzzing.","","978-1-6654-9590-5","10.1145/3510457.3513072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794086","fuzzing;saturation;test diversity;mutation analysis;oracle strength","Bitcoin;Fuzzing;Software systems;Software engineering","","","","9","","17 Jun 2022","","","IEEE","IEEE Conferences"
"Syntactic Versus Semantic Similarity of Artificial and Real Faults in Mutation Testing Studies","M. Ojdanic; A. Garg; A. Khanfir; R. Degiovanni; M. Papadakis; Y. Le Traon","University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg",IEEE Transactions on Software Engineering,"17 Jul 2023","2023","49","7","3922","3938","Fault seeding is typically used in empirical studies to evaluate and compare test techniques. Central to these techniques lies the hypothesis that artificially seeded faults involve some form of realistic properties and thus provide realistic experimental results. In an attempt to strengthen realism, a recent line of research uses machine learning techniques, such as deep learning and Natural Language Processing, to seed faults that look like (syntactically) real ones, implying that fault realism is related to syntactic similarity. This raises the question of whether seeding syntactically similar faults indeed results in semantically similar faults and, more generally whether syntactically dissimilar faults are far away (semantically) from the real ones. We answer this question by employing 4 state-of-the-art fault-seeding techniques (PiTest - a popular mutation testing tool, IBIR - a tool with manually crafted fault patterns, DeepMutation - a learning-based fault seeded framework and $\mu$μBERT - a mutation testing tool based on the pre-trained language model CodeBERT) that operate in a fundamentally different way, and demonstrate that syntactic similarity does not reflect semantic similarity. We also show that 65.11%, 76.44%, 61.39% and 9.76% of the real faults of Defects4J V2 are semantically resembled by PiTest, IBIR, $\mu$μBERT and DeepMutation faults, respectively.","1939-3520","","10.1109/TSE.2023.3277564","Luxembourg National Research Fund(grant numbers:C19/IS/13646587/RASoRS,PayPal); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10136793","Fault injection;fault seeding;machine learning;mutation testing;semantic model;syntactic distance","Syntactics;Semantics;Testing;Measurement;Codes;Bit error rate;Pattern matching","","3","","57","CCBY","26 May 2023","","","IEEE","IEEE Journals"
"A validation method of complex product supportability simulation results based on image similarity","H. Jiayin; M. Lin; Z. Weitao; X. Boping; W. Naichao","School of Reliability and System Engineering, Beihang university, Beijing, China; School of Reliability and System Engineering, Beihang university, Beijing, China; School of Transportation Science and Engineering Beihang university, Beijing, China; School of Reliability and System Engineering, Beihang university, Beijing, China; School of Reliability and System Engineering, Beihang university, Beijing, China",2017 Prognostics and System Health Management Conference (PHM-Harbin),"23 Oct 2017","2017","","","1","5","Supportability simulation is widely used in the supportability analysis of complex products. The accuracy of the simulation results directly affects the quality of the support concept, which determines the performance of the product. In this paper, image similarity is introduced as a new criteria to the validation of complex product supportability simulation results. In the developed method, the simulation results, in the form of multivariate time series, are first preprocessed into gray image. A two-dimensional discrete wavelet transform is then used to filter out random errors. Finally, the image similarity is calculated to identify the quality of the simulation. The feasibility and applicability of the method are verified by the consistency test of the complex product supportability parameters.","2166-5656","978-1-5386-0370-3","10.1109/PHM.2017.8079123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079123","simulation results test;image similarity;validation;supportability;multivariate time series","Simulation;Numerical models;Data models;Time series analysis;Wavelet transforms;Image reconstruction","","","","13","IEEE","23 Oct 2017","","","IEEE","IEEE Conferences"
"Combinatorial Approach for Automated Platform Diversity Testing","R. S. Sisodia; V. Channakeshava","Philips Research, Philips Healthcare, Bangalore, India; Philips Research, Philips Healthcare, Bangalore, India",2009 Fourth International Conference on Software Engineering Advances,"30 Oct 2009","2009","","","134","139","In recent years, product line engineering has been used effectively in many industrial setups to create a large variety of products. One key aspect of product line engineering is to develop re-usable assets often referred to as a platform. Such software platforms are inherently complex due to requirements of providing diverse functionalities, thereby leading to combinatorial test data explosion problem while validating these platforms. In this paper, we present a combinatorial approach for testing varied features and data diversity present within the platform. The proposed solution effectively takes care of complex interdependencies among diversity features and generates only valid combinations for test scenario. We also developed a prototype tool based on our proposed approaches to automate the platform testing. As part of our case study, we have used our prototype to validate a software platform widely being used across Philips Medical Systems (PMS) products. Initial results confirm that our approach significantly improves the overall platform testing process by reducing testing effort and improve the quality of the platform by detecting all interaction faults.","","978-1-4244-4779-4","10.1109/ICSEA.2009.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5298475","","Automatic testing;Taxonomy;Programming;Costs;Scheduling;Sorting;Databases;Uncertainty;Collaborative software;Project management","","1","","19","IEEE","30 Oct 2009","","","IEEE","IEEE Conferences"
"UWB Multicarrier Radar Target Scene Identification With 2-D Diversity Utilization and GLRT Refinement","D. Garmatyuk; M. Simms; S. Mudaliar","Department of Electrical and Computer Engineering, Miami University, Oxford, USA; Department of Electrical and Computer Engineering, Miami University, Oxford, USA; Sensors Directorate, Air Force Research Laboratory, Wright-Patterson Air Force Base, USA",IEEE Sensors Letters,"20 Dec 2019","2019","3","12","1","4","In this letter, we present a novel approach to target scene identification using ultrawideband software-defined radar system, which utilizes frequency-angle diversity and refines the decision via the numerically implemented generalized likelihood ratio test. The two stages of the method are discussed, as well as the Monte Carlo statistical simulation and its results. The experimental results are presented for two very similar target scenes, each of which had been successfully identified using training data available for five different scenarios. The proposed approach is tailored for use in multicarrier radar sensor systems; specifically, an orthogonal frequency division multiplexing system is considered in this letter.","2475-1472","","10.1109/LSENS.2019.2958013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8926366","Sensor signal processing;frequency diversity;generalized likelihood ratio test (GLRT);multiple hypotheses testing (MHT);orthogonal frequency division multiplexing (OFDM) radar;target identification;ultrawideband (UWB) radar","OFDM;Sensors;Training data;Probability density function;Ultra wideband radar;Frequency diversity","","4","","19","IEEE","6 Dec 2019","","","IEEE","IEEE Journals"
"Cost of software design diversity an empirical evaluation","K. Kanoun","LAAS, CNRS, Toulouse, France",Proceedings 10th International Symposium on Software Reliability Engineering (Cat. No.PR00443),"6 Aug 2002","1999","","","242","247","This paper analyzes data related to working hours that have been recorded over seven years, during the development of a real-life software system. The software under consideration is composed of two diverse (dissimilar) units, called variants. The second variant is used for self-checking. The results of the two variants are compared: in case of agreement, the outputs of the principal variant are transmitted and in case of discrepancy an error is reported. For each development phase, we evaluate the cost overhead induced by the development of the second variant with respect to the cost of the principal variant, considered as a reference. The results show that the cost overhead varies from 25% to 134% according to the development phase.","1071-9458","0-7695-0443-4","10.1109/ISSRE.1999.809329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809329","","Costs;Software design;Software systems;Data analysis;Fault tolerance;System testing;Air traffic control;Electronic switching systems;Air transportation;Fault tolerant systems","","2","","18","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Learning the semantic similarity of reusable software components","D. Merkl; A. M. Tjoa; G. Kappel","Department of Information Engineering, University of Technology, Vienna, Vienna, Austria; Department of Information Engineering, University of Technology, Vienna, Vienna, Austria; Department of Computer Science, University of Linz, Linz, Austria",Proceedings of 1994 3rd International Conference on Software Reuse,"6 Aug 2002","1994","","","33","41","Properly structured software libraries are crucial for the success of software reuse. Specifically, the structure of the software library ought to reflect the functional similarity of the stored software components in order to facilitate the retrieval process. We propose the application of artificial neural network technology to achieve such a structured library. In more detail, we utilize an artificial neural network adhering to the unsupervised learning paradigm. The distinctive feature of this very model is to make the semantic relationship between the stored software components geographically explicit. Thus, the actual user of the software library gets a notion of the semantic relationship between the components in terms of their geographical closeness.<>","","0-8186-6632-3","10.1109/ICSR.1994.365813","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=365813","","Software reusability;Software libraries;Artificial neural networks;Application software;Unsupervised learning;Software quality;Computer science;Productivity;Software testing;Organizing","","9","","21","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"The Human Side of Software Engineering Teams: An Investigation of Contemporary Challenges","M. Hoffmann; D. Mendez; F. Fagerholm; A. Luckhardt","QualityMinds GmbH, Nürnberg, Germany; Blekinge Institute of Technology, Karlskrona, Sweden; Aalto University, Espoo, Finland; Technical University of Munich, München, Germany",IEEE Transactions on Software Engineering,"6 Jan 2023","2023","49","1","211","225","Context: There have been numerous recent calls for research on the human side of software engineering and its impact on various factors such as productivity, developer happiness and project success. An analysis of which challenges in software engineering teams are most frequent is still missing. As teams are more international, it is more frequent that their members have different human values as well as different communication habits. Additionally, virtual team setups (working geographically separated, remote communication using digital tools and frequently changing team members) are increasingly prevalent. Objective: We aim to provide a starting point for a theory about contemporary human challenges in teams and their causes in software engineering. To do so, we look to establish a reusable set of challenges and start out by investigating the effect of team virtualization. Virtual teams often use digital communication and consist of members with different nationalities that may have more divergent human values due to cultural differences compared to single nationality teams. Method: We designed a survey instrument and asked respondents to assess the frequency and criticality of a set of challenges, separated in context ”within teams” as well as ”between teams and clients”, compiled from previous empirical work, blog posts, and pilot survey feedback. For the team challenges, we asked if mitigation measures were already in place to tackle the challenge. Respondents were also asked to provide information about their team setup. The survey included the Personal Value Questionnaire to measure Schwartz human values. Finally, respondents were asked if there were additional challenges at their workplace. The survey was first piloted and then distributed to professionals working in software engineering teams via social networking sites and personal business networks. Result: In this article, we report on the results obtained from 192 respondents. We present a set of challenges that takes the survey feedback into account and introduce two categories of challenges; ”interpersonal” and ”intrapersonal”. We found no evidence for links between human values and challenges. We found some significant links between the number of distinct nationalities in a team and certain challenges, with less frequent and critical challenges occurring if 2-3 different nationalities were present compared to a team having members of just one nationality or more than three. A higher degree of virtualization seems to increase the frequency of some human challenges, which warrants further research about how to improve working processes when teams work from remote or in a distributed fashion. Conclusion: We present a set of human challenges in software engineering that can be used for further research on causes and mitigation measures, which serves as our starting point for a theory about causes of contemporary human challenges in software engineering teams. We report on evidence that a higher degree of virtualization of teams leads to an increase of certain challenges. This warrants further research to gather more evidence and test countermeasures, such as whether the employment of virtual reality software incorporating facial expressions and movements can help establish a less detached way of communication.","1939-3520","","10.1109/TSE.2022.3148539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706331","Software engineering;human challenges;virtual teams;human values;diversity;survey research","Software engineering;Software;Virtualization;Virtual groups;Cultural differences;Human factors;Productivity","","8","","56","IEEE","7 Feb 2022","","","IEEE","IEEE Journals"
"Clustering homogeneous XML documents using weighted similarities on XML attributes","N. K. Nagwani; A. Bhansali","Department of CS&E, National Institute of Technology, Raipur, India; Department of IT, OPJIT, Raigarh, India",2010 IEEE 2nd International Advance Computing Conference (IACC),"1 Mar 2010","2010","","","369","372","XML (eXtensible Markup Language) have been adopted by number of software vendors today, it became the standard for data interchange over the web and is platform and application independent also. A XML document is consists of number of attributes like document data, structure and style sheet etc. Clustering is method of creating groups of similar objects. In this paper a weighted similarity measurement approach for detecting the similarity between the homogeneous XML documents is suggested. Using this similarity measurement a new clustering technique is also proposed. The method of calculating similarity of document's structure and styling is given by number of researchers, mostly which are based on tree edit distances. And for calculating the distance between document's contents there are number of text and other similarity techniques like cosine, jaccord, tf-idf etc. In this paper both of the similarity techniques are combined to propose a new distance measurement technique for calculating the distance between a pair of homogeneous XML documents. The proposed clustering model is implemened using open source technology java and is validated experimentally. Given a collection of XML documents distances between documents is calculated and stored in the java collections, and then these distances are used to cluster the XML documents.","","978-1-4244-4790-9","10.1109/IADCC.2010.5422926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5422926","XML Clustering;Weighted Similarity;XML Documents Similarity","XML;Java;Clustering algorithms;Software standards;Application software;Weight measurement;Distance measurement;Software measurement;Software testing;Information retrieval","","10","","13","IEEE","1 Mar 2010","","","IEEE","IEEE Conferences"
